"","date","state_name","employees","change_in_unemp","Sector","Mob_res","Mob_res_SA","delta_Mob_res_SA","stringency_index","delta_stringency_index"
"105",2020-02-29,"District of Columbia","        82.3",0.00242424242424244,"Leisure and Hospitality",-1,7.61419294990724,NA,0,0
"106",2020-02-29,"District of Columbia","       238.1",0,"Government",-1,7.61419294990724,NA,0,0
"107",2020-02-29,"District of Columbia","        23.1",0.00431034482758608,"Retail Trade",-1,7.61419294990724,NA,0,0
"108",2020-02-29,"District of Columbia","         1.2",0.076923076923077,"Manufacturing",-1,7.61419294990724,NA,0,0
"109",2020-02-29,"District of Columbia","         4.8",0.0204081632653063,"Transportation and Utilities",-1,7.61419294990724,NA,0,0
"110",2020-02-29,"District of Columbia","       130.1",0.00989345509893469,"Education and Health Services",-1,7.61419294990724,NA,0,0
"111",2020-02-29,"District of Columbia","        77.9",0,"Other Services",-1,7.61419294990724,NA,0,0
"112",2020-02-29,"District of Columbia","        29.8",0.00334448160535106,"Financial Activities",-1,7.61419294990724,NA,0,0
"113",2020-02-29,"District of Columbia","        20.7",-0.00485436893203883,"Information",-1,7.61419294990724,NA,0,0
"114",2020-02-29,"Florida","      1104.1",0.00279985549132955,"Retail Trade",-2,1.23258680095415,NA,5.56,5.56
"115",2020-02-29,"Florida","       355.8",-0.00112549240292648,"Wholesale Trade",-2,1.23258680095415,NA,5.56,5.56
"116",2020-02-29,"Florida","       603.9",-0.00149253731343291,"Financial Activities",-2,1.23258680095415,NA,5.56,5.56
"117",2020-02-29,"Florida","       389.3",-0.00077120822622101,"Manufacturing",-2,1.23258680095415,NA,5.56,5.56
"118",2020-02-29,"Florida","       138.6",0.000720980533525539,"Information",-2,1.23258680095415,NA,5.56,5.56
"119",2020-02-29,"Florida","       355.0",0.000844356881508634,"Other Services",-2,1.23258680095415,NA,5.56,5.56
"120",2020-02-29,"Florida","      1368.9",-0.00300410316529898,"Education and Health Services",-2,1.23258680095415,NA,5.56,5.56
"121",2020-02-29,"Florida","       357.6",0.00278862242052424,"Transportation and Utilities",-2,1.23258680095415,NA,5.56,5.56
"122",2020-02-29,"Florida","      1408.2",-0.00342026507054283,"Professional and Business Services",-2,1.23258680095415,NA,5.56,5.56
"123",2020-02-29,"Florida","       577.2",-0.00330262471753873,"Construction",-2,1.23258680095415,NA,5.56,5.56
"124",2020-02-29,"Florida","      1132.6",0.000705840832892379,"Government",-2,1.23258680095415,NA,5.56,5.56
"125",2020-02-29,"Florida","      1276.5",-0.00125500039218762,"Leisure and Hospitality",-2,1.23258680095415,NA,5.56,5.56
"126",2020-02-29,"Georgia","       496.3",-0.000604838709677535,"Retail Trade",-3,1.12071296050888,NA,0,0
"127",2020-02-29,"Georgia","       217.1",-0.000460829493087456,"Wholesale Trade",-3,1.12071296050888,NA,0,0
"128",2020-02-29,"Georgia","       508.2",-0.00216919739696309,"Leisure and Hospitality",-3,1.12071296050888,NA,0,0
"129",2020-02-29,"Georgia","       168.4",0.00177830468286888,"Other Services",-3,1.12071296050888,NA,0,0
"130",2020-02-29,"Georgia","       208.3",-0.00192400192400188,"Construction",-3,1.12071296050888,NA,0,0
"131",2020-02-29,"Georgia","       693.7",0.000432276657060471,"Government",-3,1.12071296050888,NA,0,0
"132",2020-02-29,"Georgia","         9.6",-0.0105263157894737,"Mining and Logging",-3,1.12071296050888,NA,0,0
"133",2020-02-29,"Georgia","       120.1",-0.0126475548060709,"Information",-3,1.12071296050888,NA,0,0
"134",2020-02-29,"Georgia","       730.1",0.000410733844468769,"Professional and Business Services",-3,1.12071296050888,NA,0,0
"135",2020-02-29,"Georgia","       616.9",-0.000973551841635611,"Education and Health Services",-3,1.12071296050888,NA,0,0
"136",2020-02-29,"Georgia","       404.5",-0.000494682166707783,"Manufacturing",-3,1.12071296050888,NA,0,0
"137",2020-02-29,"Georgia","       238.3",0.00251151109250725,"Transportation and Utilities",-3,1.12071296050888,NA,0,0
"138",2020-02-29,"Georgia","       255.0",-0.00196463654223966,"Financial Activities",-3,1.12071296050888,NA,0,0
"139",2020-02-29,"Hawaii","         9.7",-0.102272727272727,"Information",0,3.46839385104691,NA,11.11,11.11
"140",2020-02-29,"Hawaii","        13.7",0.00724637681159435,"Manufacturing",0,3.46839385104691,NA,11.11,11.11
"141",2020-02-29,"Hawaii","        36.5",0.00544959128065403,"Transportation and Utilities",0,3.46839385104691,NA,11.11,11.11
"142",2020-02-29,"Hawaii","        74.8",0.00266666666666671,"Professional and Business Services",0,3.46839385104691,NA,11.11,11.11
"143",2020-02-29,"Hawaii","        18.0",0.00552486187845314,"Wholesale Trade",0,3.46839385104691,NA,11.11,11.11
"144",2020-02-29,"Hawaii","        30.0",0,"Financial Activities",0,3.46839385104691,NA,11.11,11.11
"145",2020-02-29,"Hawaii","        71.3",0.00418994413407814,"Retail Trade",0,3.46839385104691,NA,11.11,11.11
"146",2020-02-29,"Hawaii","       127.6",0,"Leisure and Hospitality",0,3.46839385104691,NA,11.11,11.11
"147",2020-02-29,"Hawaii","        28.4",0,"Other Services",0,3.46839385104691,NA,11.11,11.11
"148",2020-02-29,"Hawaii","        88.0",0.00339750849377118,"Education and Health Services",0,3.46839385104691,NA,11.11,11.11
"149",2020-02-29,"Hawaii","       127.0",-0.00236779794790842,"Government",0,3.46839385104691,NA,11.11,11.11
"150",2020-02-29,"Idaho","        55.0",-0.00364963503649651,"Construction",-2,0.525927643784787,NA,0,0
"151",2020-02-29,"Idaho","         3.8",0,"Mining and Logging",-2,0.525927643784787,NA,0,0
"152",2020-02-29,"Idaho","       127.3",0,"Government",-2,0.525927643784787,NA,0,0
"153",2020-02-29,"Idaho","        26.8",0.00371747211895901,"Other Services",-2,0.525927643784787,NA,0,0
"154",2020-02-29,"Idaho","        27.1",0.010948905109489,"Transportation and Utilities",-2,0.525927643784787,NA,0,0
"155",2020-02-29,"Idaho","        69.1",-0.00144927536231876,"Manufacturing",-2,0.525927643784787,NA,0,0
"156",2020-02-29,"Idaho","        31.4",0,"Wholesale Trade",-2,0.525927643784787,NA,0,0
"157",2020-02-29,"Idaho","         8.0",0,"Information",-2,0.525927643784787,NA,0,0
"158",2020-02-29,"Idaho","        88.6",-0.0022624434389138,"Retail Trade",-2,0.525927643784787,NA,0,0
"159",2020-02-29,"Idaho","        37.2",-0.00269541778975735,"Financial Activities",-2,0.525927643784787,NA,0,0
"160",2020-02-29,"Idaho","       114.5",0,"Education and Health Services",-2,0.525927643784787,NA,0,0
"161",2020-02-29,"Idaho","        99.8",-0.0030150753768845,"Professional and Business Services",-2,0.525927643784787,NA,0,0
"162",2020-02-29,"Idaho","        84.8",-0.00355029585798805,"Leisure and Hospitality",-2,0.525927643784787,NA,0,0
"163",2020-02-29,"Illinois","       414.9",-0.00169000482858528,"Financial Activities",-3,2.4409488470713,NA,5.56,2.78
"164",2020-02-29,"Illinois","       228.1",0.00610021786492376,"Construction",-3,2.4409488470713,NA,5.56,2.78
"165",2020-02-29,"Illinois","         7.7",0,"Mining and Logging",-3,2.4409488470713,NA,5.56,2.78
"166",2020-02-29,"Illinois","       946.5",0.00179287070238354,"Professional and Business Services",-3,2.4409488470713,NA,5.56,2.78
"167",2020-02-29,"Illinois","       293.9",0.000340136054421847,"Wholesale Trade",-3,2.4409488470713,NA,5.56,2.78
"168",2020-02-29,"Illinois","        93.7",0,"Information",-3,2.4409488470713,NA,5.56,2.78
"169",2020-02-29,"Illinois","       586.4",-0.0017082336863683,"Retail Trade",-3,2.4409488470713,NA,5.56,2.78
"170",2020-02-29,"Illinois","       580.6",0.000172205958326233,"Manufacturing",-3,2.4409488470713,NA,5.56,2.78
"171",2020-02-29,"Illinois","       325.9",0.00275397796817634,"Transportation and Utilities",-3,2.4409488470713,NA,5.56,2.78
"172",2020-02-29,"Illinois","       257.7",-0.00116550116550118,"Other Services",-3,2.4409488470713,NA,5.56,2.78
"173",2020-02-29,"Illinois","       949.8",-0.00115948139559396,"Education and Health Services",-3,2.4409488470713,NA,5.56,2.78
"174",2020-02-29,"Illinois","       827.7",0.0107565435640015,"Government",-3,2.4409488470713,NA,5.56,2.78
"175",2020-02-29,"Illinois","       629.9",-0.00174936386768443,"Leisure and Hospitality",-3,2.4409488470713,NA,5.56,2.78
"176",2020-02-29,"Indiana","         6.0",0.0322580645161291,"Mining and Logging",-3,1.42711370262391,NA,5.56,5.56
"177",2020-02-29,"Indiana","       149.1",-0.0026899798251514,"Construction",-3,1.42711370262391,NA,5.56,5.56
"178",2020-02-29,"Indiana","       536.0",0.00167628981188295,"Manufacturing",-3,1.42711370262391,NA,5.56,5.56
"179",2020-02-29,"Indiana","        28.4",0,"Information",-3,1.42711370262391,NA,5.56,5.56
"180",2020-02-29,"Indiana","       347.4",-0.0011527377521614,"Professional and Business Services",-3,1.42711370262391,NA,5.56,5.56
"181",2020-02-29,"Indiana","       314.2",0.00412044374009513,"Retail Trade",-3,1.42711370262391,NA,5.56,5.56
"182",2020-02-29,"Indiana","       161.8",-0.00872817955112226,"Transportation and Utilities",-3,1.42711370262391,NA,5.56,5.56
"183",2020-02-29,"Indiana","       315.6",0.00126582278481002,"Leisure and Hospitality",-3,1.42711370262391,NA,5.56,5.56
"184",2020-02-29,"Indiana","       143.5",-0.00349650349650354,"Financial Activities",-3,1.42711370262391,NA,5.56,5.56
"185",2020-02-29,"Indiana","       481.5",0.00537079115885153,"Education and Health Services",-3,1.42711370262391,NA,5.56,5.56
"186",2020-02-29,"Indiana","       428.4",-0.00116849731245616,"Government",-3,1.42711370262391,NA,5.56,5.56
"187",2020-02-29,"Indiana","       123.1",-0.000813008130081228,"Wholesale Trade",-3,1.42711370262391,NA,5.56,5.56
"188",2020-02-29,"Indiana","       128.8",-0.00155520995334379,"Other Services",-3,1.42711370262391,NA,5.56,5.56
"189",2020-02-29,"Iowa","         2.3",0.0416666666666667,"Mining and Logging",-3,0.591339782666313,NA,0,0
"190",2020-02-29,"Iowa","        58.3",0.00681431005110744,"Other Services",-3,0.591339782666313,NA,0,0
"191",2020-02-29,"Iowa","        79.6",0.0124069478908189,"Construction",-3,0.591339782666313,NA,0,0
"192",2020-02-29,"Iowa","       224.2",0.000445831475702319,"Manufacturing",-3,0.591339782666313,NA,0,0
"193",2020-02-29,"Iowa","       263.4",0.00227272727272732,"Government",-3,0.591339782666313,NA,0,0
"194",2020-02-29,"Iowa","        66.4",0.00150375939849612,"Wholesale Trade",-3,0.591339782666313,NA,0,0
"195",2020-02-29,"Iowa","        20.5",0.0096618357487922,"Information",-3,0.591339782666313,NA,0,0
"196",2020-02-29,"Iowa","       237.3",-0.00295857988165693,"Education and Health Services",-3,0.591339782666313,NA,0,0
"197",2020-02-29,"Iowa","       174.7",0.00114351057747297,"Retail Trade",-3,0.591339782666313,NA,0,0
"198",2020-02-29,"Iowa","       110.3",-0.00181653042688468,"Financial Activities",-3,0.591339782666313,NA,0,0
"199",2020-02-29,"Iowa","       145.2",-0.00207039337474102,"Leisure and Hospitality",-3,0.591339782666313,NA,0,0
"200",2020-02-29,"Iowa","       140.0",0.00213827512473275,"Professional and Business Services",-3,0.591339782666313,NA,0,0
"201",2020-02-29,"Iowa","        68.7",0.0157593123209169,"Transportation and Utilities",-3,0.591339782666313,NA,0,0
"202",2020-02-29,"Kansas","       205.2",-0.00146412884333813,"Education and Health Services",-3,0.431652531142327,NA,0,0
"203",2020-02-29,"Kansas","         6.5",0.0151515151515151,"Mining and Logging",-3,0.431652531142327,NA,0,0
"204",2020-02-29,"Kansas","        64.9",-0.00620155038759695,"Construction",-3,0.431652531142327,NA,0,0
"205",2020-02-29,"Kansas","       142.1",-0.00140944326990833,"Retail Trade",-3,0.431652531142327,NA,0,0
"206",2020-02-29,"Kansas","       260.1",0.00649350649350644,"Government",-3,0.431652531142327,NA,0,0
"207",2020-02-29,"Kansas","        57.7",0,"Wholesale Trade",-3,0.431652531142327,NA,0,0
"208",2020-02-29,"Kansas","        51.6",-0.00194174757281562,"Other Services",-3,0.431652531142327,NA,0,0
"209",2020-02-29,"Kansas","       175.7",0.00283768444948918,"Professional and Business Services",-3,0.431652531142327,NA,0,0
"210",2020-02-29,"Kansas","        78.2",0,"Financial Activities",-3,0.431652531142327,NA,0,0
"211",2020-02-29,"Kansas","       170.4",0.00641399416909616,"Manufacturing",-3,0.431652531142327,NA,0,0
"212",2020-02-29,"Kansas","        18.2",0,"Information",-3,0.431652531142327,NA,0,0
"213",2020-02-29,"Kansas","       130.9",-0.00153022188217311,"Leisure and Hospitality",-3,0.431652531142327,NA,0,0
"214",2020-02-29,"Kansas","        67.3",0.00148367952522266,"Transportation and Utilities",-3,0.431652531142327,NA,0,0
"215",2020-02-29,"Kentucky","       290.8",-0.000343997248022143,"Education and Health Services",-2,2.61304002120329,NA,5.56,0
"216",2020-02-29,"Kentucky","        75.6",0,"Wholesale Trade",-2,2.61304002120329,NA,5.56,0
"217",2020-02-29,"Kentucky","       208.5",0.00143678160919547,"Retail Trade",-2,2.61304002120329,NA,5.56,0
"218",2020-02-29,"Kentucky","       250.7",0.00199044585987262,"Manufacturing",-2,2.61304002120329,NA,5.56,0
"219",2020-02-29,"Kentucky","       204.8",0.00194931773879137,"Leisure and Hospitality",-2,2.61304002120329,NA,5.56,0
"220",2020-02-29,"Kentucky","        81.3",0.00853658536585367,"Construction",-2,2.61304002120329,NA,5.56,0
"221",2020-02-29,"Kentucky","        21.6",0,"Information",-2,2.61304002120329,NA,5.56,0
"222",2020-02-29,"Kentucky","       312.1",-0.00321440051430399,"Government",-2,2.61304002120329,NA,5.56,0
"223",2020-02-29,"Kentucky","       121.6",-0.00330033003300323,"Transportation and Utilities",-2,2.61304002120329,NA,5.56,0
"224",2020-02-29,"Kentucky","        68.7",-0.0043859649122806,"Other Services",-2,2.61304002120329,NA,5.56,0
"225",2020-02-29,"Kentucky","       218.0",-0.00414555504375858,"Professional and Business Services",-2,2.61304002120329,NA,5.56,0
"226",2020-02-29,"Kentucky","        94.6",-0.00105820105820098,"Financial Activities",-2,2.61304002120329,NA,5.56,0
"227",2020-02-29,"Kentucky","         8.7",0.043956043956044,"Mining and Logging",-2,2.61304002120329,NA,5.56,0
"228",2020-02-29,"Louisiana","        22.6",0.0216450216450217,"Information",-2,0.34210840180228,NA,0,0
"229",2020-02-29,"Louisiana","        35.2",-0.00859598853868215,"Mining and Logging",-2,0.34210840180228,NA,0,0
"230",2020-02-29,"Louisiana","        68.8",0,"Wholesale Trade",-2,0.34210840180228,NA,0,0
"231",2020-02-29,"Louisiana","       138.1",-0.00363372093023262,"Manufacturing",-2,0.34210840180228,NA,0,0
"232",2020-02-29,"Louisiana","        87.5",0.00455062571103537,"Transportation and Utilities",-2,0.34210840180228,NA,0,0
"233",2020-02-29,"Louisiana","       218.2",-0.00552995391705058,"Professional and Business Services",-2,0.34210840180228,NA,0,0
"234",2020-02-29,"Louisiana","       137.0",-0.00439882697947214,"Construction",-2,0.34210840180228,NA,0,0
"235",2020-02-29,"Louisiana","        94.1",-0.00212992545260904,"Financial Activities",-2,0.34210840180228,NA,0,0
"236",2020-02-29,"Louisiana","       331.1",0.00361119470358107,"Government",-2,0.34210840180228,NA,0,0
"237",2020-02-29,"Louisiana","       238.6",0.00125575554625368,"Leisure and Hospitality",-2,0.34210840180228,NA,0,0
"238",2020-02-29,"Louisiana","        73.9",-0.00271370420624151,"Other Services",-2,0.34210840180228,NA,0,0
"239",2020-02-29,"Louisiana","       326.8",-0.00306936771025179,"Education and Health Services",-2,0.34210840180228,NA,0,0
"240",2020-02-29,"Louisiana","       221.6",0.00135196034249663,"Retail Trade",-2,0.34210840180228,NA,0,0
